vid	text	duration_sec	word_count	file_path	source
FJpeot48AYY_2-5-rgb_front	Some of the most creative parts of cat costumes I've seen involve the tail.	5.55	14	D:\signbridge_dataset\how2sign\train\FJpeot48AYY_2-5-rgb_front.mp4	how2sign
cvqbe6xyT7Y-00:01:13.941-00:01:21.715	Players will be tested for the coronavirus multiple times per week.	7.774	11	D:\signbridge_dataset\openasl\train\cvqbe6xyT7Y-00.01.13.941-00.01.21.715.mp4	openasl
C5tmJXRemUM_3-8-rgb_front	Curling iron is usually a good option to give your hair some texture, but it can also be very dangerous.	5.65	20	D:\signbridge_dataset\how2sign\train\C5tmJXRemUM_3-8-rgb_front.mp4	how2sign
0sal9F4RXeY_6-8-rgb_front	So you just take a length of thread not too long because the longer it is the more it tends to knot.	4.9	22	D:\signbridge_dataset\how2sign\train\0sal9F4RXeY_6-8-rgb_front.mp4	how2sign
a6R0oP_swBU-00:02:58.300-00:03:02.020	I hope to see many of you there with us.	3.72	10	D:\signbridge_dataset\openasl\train\a6R0oP_swBU-00.02.58.300-00.03.02.020.mp4	openasl
RQ0RdCyA-wk-00:05:06.360-00:05:09.379	It's call salad frosting.	3.019	5	D:\signbridge_dataset\openasl\train\RQ0RdCyA-wk-00.05.06.360-00.05.09.379.mp4	openasl
BfUPRI3h4vo-00:15:52.158-00:15:53.994	I appreciate it very much.	1.85	5	D:\signbridge_dataset\openasl\train\BfUPRI3h4vo-00.15.52.158-00.15.53.994.mp4	openasl
bwcJD7fGonM-00:00:18.019-00:00:24.239	"In August of 2013, a case was brought to court by a young girl who is identified as ""KM""."	6.25	19	D:\signbridge_dataset\openasl\train\bwcJD7fGonM-00.00.18.019-00.00.24.239.mp4	openasl
asnjOLvpsoQ_29-8-rgb_front	You'll be ready to practice independently, as a psychologist.	2.5	9	D:\signbridge_dataset\how2sign\train\asnjOLvpsoQ_29-8-rgb_front.mp4	how2sign
1F1WadkaAcI_23-5-rgb_front	We're supposed to be counting questions.	1.75	6	D:\signbridge_dataset\how2sign\train\1F1WadkaAcI_23-5-rgb_front.mp4	how2sign
12_PWBuI3mM_11-8-rgb_front	The word open the cover.	2.6	5	D:\signbridge_dataset\how2sign\train\12_PWBuI3mM_11-8-rgb_front.mp4	how2sign
dq9LGNzm2Mo_6-8-rgb_front	And this is the rest where you're going to put the porta filter to dose the coffee into the porta filter.	6.6	21	D:\signbridge_dataset\how2sign\train\dq9LGNzm2Mo_6-8-rgb_front.mp4	how2sign
1MvVj9F775U_2-5-rgb_front	It has to be a large bead, and it's very important that we get the right size.	7.65	17	D:\signbridge_dataset\how2sign\train\1MvVj9F775U_2-5-rgb_front.mp4	how2sign
2EaPbARsm8c_3-5-rgb_front	And I'm here to tell you what's the best vodka.	3.4	10	D:\signbridge_dataset\how2sign\train\2EaPbARsm8c_3-5-rgb_front.mp4	how2sign
Be7Kg0uuaBo-00:01:38.599-00:01:46.420	He says he has to take this journey literally one step at a time until he reaches his ultimate weight loss goal of losing 50 pounds.	7.821	26	D:\signbridge_dataset\openasl\train\Be7Kg0uuaBo-00.01.38.599-00.01.46.420.mp4	openasl
NQpbC1zHtr4-00:07:42.720-00:07:48.000	Have you downloaded the new Sign1News app?	5.3	7	D:\signbridge_dataset\openasl\train\NQpbC1zHtr4-00.07.42.720-00.07.48.000.mp4	openasl
GfWZfUxFmhE-00:02:45.520-00:02:50.080	Many of the attendees brought their knowledge, experience, and ideas to share.	4.56	12	D:\signbridge_dataset\openasl\train\GfWZfUxFmhE-00.02.45.520-00.02.50.080.mp4	openasl
1FAMcCdWsZM_11-5-rgb_front	It's not quite long enough and not quite short enough.	4.5	10	D:\signbridge_dataset\how2sign\train\1FAMcCdWsZM_11-5-rgb_front.mp4	how2sign
dBKY0y6Zypk-00:08:12.560-00:08:19.399	So, we have one student who graduated and went on to Gallaudet University as an undergraduate student and completed their interpreting program.	6.85	22	D:\signbridge_dataset\openasl\train\dBKY0y6Zypk-00.08.12.560-00.08.19.399.mp4	openasl
SkqPrjECefg-00:08:35.320-00:08:37.606	Amber: Yes, the law is clear.	2.3	6	D:\signbridge_dataset\openasl\train\SkqPrjECefg-00.08.35.320-00.08.37.606.mp4	openasl
teZzv651WRs-00:00:24.859-00:00:28.300	You'll have a part in addressing problems that exist today.	3.441	11	D:\signbridge_dataset\openasl\train\teZzv651WRs-00.00.24.859-00.00.28.300.mp4	openasl
_WQ3g8yIRZQ-00:12:59.416-00:13:02.125	She was brought to a hospital but died.	2.709	8	D:\signbridge_dataset\openasl\train\_WQ3g8yIRZQ-00.12.59.416-00.13.02.125.mp4	openasl
G4OkVnUWgIw-00:04:37.199-00:04:43.240	If you are using captioning, you can access the captions on a separate web page.	6.05	15	D:\signbridge_dataset\openasl\train\G4OkVnUWgIw-00.04.37.199-00.04.43.240.mp4	openasl
TakW7HODMK0-00:00:00.220-00:00:04.299	Hi, this is my last video for the 2016-2018 term!	4.1	10	D:\signbridge_dataset\openasl\train\TakW7HODMK0-00.00.00.220-00.00.04.299.mp4	openasl
nghxDFzrmrs-00:09:49.791-00:09:54.457	Let me explain what exactly that means in simple numbers.	4.666	10	D:\signbridge_dataset\openasl\train\nghxDFzrmrs-00.09.49.791-00.09.54.457.mp4	openasl
vi4MuOpuhcg-00:00:33.020-00:00:36.439	Then in 1870, they decided to give it to the state.	3.419	11	D:\signbridge_dataset\openasl\train\vi4MuOpuhcg-00.00.33.020-00.00.36.439.mp4	openasl
1VbIAziTNoE_11-5-rgb_front	Now, you don't say that, if they're talking.	3.0	8	D:\signbridge_dataset\how2sign\train\1VbIAziTNoE_11-5-rgb_front.mp4	how2sign
9TWvWwI3jG4-00:03:48.750-00:03:50.957	What comes next?	2.207	3	D:\signbridge_dataset\openasl\train\9TWvWwI3jG4-00.03.48.750-00.03.50.957.mp4	openasl
-egX2qfNmvI_7-5-rgb_front	No rubbing or tugging or pulling on the eye.	3.1	9	D:\signbridge_dataset\how2sign\train\-egX2qfNmvI_7-5-rgb_front.mp4	how2sign
02WRxAwx-Bo_17-8-rgb_front	We need to make sure that we stir until the honey as completely dissolved.	5.1	14	D:\signbridge_dataset\how2sign\train\02WRxAwx-Bo_17-8-rgb_front.mp4	how2sign
G0PNAsonBGk_2-2-rgb_front	Now I'm lifting my entire body, and he's trying to keep my entire body down with just his arms.	4.95	19	D:\signbridge_dataset\how2sign\test\G0PNAsonBGk_2-2-rgb_front.mp4	how2sign
tLjt1Szi1yo-00:06:13.300-00:06:18.240	Sriracha is a popular type of hot sauce.	4.95	8	D:\signbridge_dataset\openasl\train\tLjt1Szi1yo-00.06.13.300-00.06.18.240.mp4	openasl
y0_Id80EZ2Y-00:01:35.200-00:01:38.133	That's how I use the cards, in my experience.	2.95	10	D:\signbridge_dataset\openasl\val\y0_Id80EZ2Y-00.01.35.200-00.01.38.133.mp4	openasl
LdVNY2ze-Yw-00:02:13.500-00:02:17.204	They could die from the coronavirus.	3.704	6	D:\signbridge_dataset\openasl\train\LdVNY2ze-Yw-00.02.13.500-00.02.17.204.mp4	openasl
0Gyur-C_KEo_0-5-rgb_front	Standing in the moving water or white water is something you should never try and do.	7.0	16	D:\signbridge_dataset\how2sign\train\0Gyur-C_KEo_0-5-rgb_front.mp4	how2sign
osHy2dzQmgE-00:02:51.099-00:02:57.639	Next, I will expand more on ASL access, video relay services, captioning, and resources available.	6.55	15	D:\signbridge_dataset\openasl\train\osHy2dzQmgE-00.02.51.099-00.02.57.639.mp4	openasl
TKRXFmA-D5s-00:05:32.139-00:05:38.160	You can get more information about the recall at the USDA's website.	6.05	13	D:\signbridge_dataset\openasl\train\TKRXFmA-D5s-00.05.32.139-00.05.38.160.mp4	openasl
G1lNlhjWC1I_12-8-rgb_front	So once we have that base all set I'm going ahead and move onto our crease color.	4.9	17	D:\signbridge_dataset\how2sign\test\G1lNlhjWC1I_12-8-rgb_front.mp4	how2sign
4_od0W20hL0-00:02:16.000-00:02:22.000	If you are interested in joining a committee please feel free to join anytime you want!	6.0	16	D:\signbridge_dataset\openasl\train\4_od0W20hL0-00.02.16.000-00.02.22.000.mp4	openasl
07BevXg9ISg-00:01:08.319-00:01:13.620	DIG will select workshops about employment.	5.301	6	D:\signbridge_dataset\openasl\train\07BevXg9ISg-00.01.08.319-00.01.13.620.mp4	openasl
3zBcV4VQ2lg-00:02:27.639-00:02:35.319	New York already has an open lawsuit against drugmaker Purdue Pharma.	7.7	11	D:\signbridge_dataset\openasl\train\3zBcV4VQ2lg-00.02.27.639-00.02.35.319.mp4	openasl
10mCoCsahVo_2-8-rgb_front	That's really it.	1.55	3	D:\signbridge_dataset\how2sign\train\10mCoCsahVo_2-8-rgb_front.mp4	how2sign
EWV6xcewNVk_0-8-rgb_front	So you're looking for a new hair style.	1.9	8	D:\signbridge_dataset\how2sign\train\EWV6xcewNVk_0-8-rgb_front.mp4	how2sign
-BhMzw-Pem0_15-8-rgb_front	So I'm going to use the mechanical pencil on this particular one.	2.95	12	D:\signbridge_dataset\how2sign\train\-BhMzw-Pem0_15-8-rgb_front.mp4	how2sign
e9o20Wskpvw-00:03:13.060-00:03:20.319	The CDC confirms a person is infected with the virus.	7.3	10	D:\signbridge_dataset\openasl\train\e9o20Wskpvw-00.03.13.060-00.03.20.319.mp4	openasl
FaTbGDrP9NI_1-8-rgb_front	Black tea you find that in your iced teas at restaurants.	3.15	11	D:\signbridge_dataset\how2sign\train\FaTbGDrP9NI_1-8-rgb_front.mp4	how2sign
SrBy_-u810M-00:02:25.854-00:02:27.479	That's something different!	1.65	4	D:\signbridge_dataset\openasl\train\SrBy_-u810M-00.02.25.854-00.02.27.479.mp4	openasl
D2nOIpFXjYE_11-5-rgb_front	If you play with it they're not going to take care of it, you won't have it under warranty.	4.45	19	D:\signbridge_dataset\how2sign\train\D2nOIpFXjYE_11-5-rgb_front.mp4	how2sign
BZqXT5UYUD8_10-5-rgb_front	Because when you come home you want to get the calls back to your phone you hit another number and in my case, *73.	7.6	24	D:\signbridge_dataset\how2sign\val\BZqXT5UYUD8_10-5-rgb_front.mp4	how2sign
1cZMGr3-y6A_10-8-rgb_front	If something too high, it going to put pressure on your shoulders and it's going to make you really tight.	4.35	20	D:\signbridge_dataset\how2sign\train\1cZMGr3-y6A_10-8-rgb_front.mp4	how2sign
G42xKICVj9U_6-10-rgb_front	You want your eyes focused up looking at where you?re coming from.	4.1	12	D:\signbridge_dataset\how2sign\test\G42xKICVj9U_6-10-rgb_front.mp4	how2sign
ggouMQubrPo-00:21:05.888-00:21:13.814	"They said, ""Oh, okay."" They checked with others, but there were no interpreter available for a last minute assignment."	7.95	20	D:\signbridge_dataset\openasl\train\ggouMQubrPo-00.21.05.888-00.21.13.814.mp4	openasl
pimixabgzlc-00:02:30.489-00:02:35.000	I didn t realize that the 2006 protest had racism behind it.	4.55	12	D:\signbridge_dataset\openasl\train\pimixabgzlc-00.02.30.489-00.02.35.000.mp4	openasl
_req97_FSyg-00:06:46.399-00:06:53.759	Procter & Gamble says the eco-box is perfect for people buying Tide online.	7.36	15	D:\signbridge_dataset\openasl\train\_req97_FSyg-00.06.46.399-00.06.53.759.mp4	openasl
0KcUZlotmlo-00:08:14.040-00:08:16.319	What are you doing backing away?	2.3	6	D:\signbridge_dataset\openasl\train\0KcUZlotmlo-00.08.14.040-00.08.16.319.mp4	openasl
15h_ez8ggVY_8-8-rgb_front	The only thing to remember is always have an assortment of youth mouthpieces and the adult.	5.9	16	D:\signbridge_dataset\how2sign\train\15h_ez8ggVY_8-8-rgb_front.mp4	how2sign
3zRUoFOUi4Q-00:04:06.699-00:04:12.680	The report also said the fertility rate was nearly the same for all races.	6.0	14	D:\signbridge_dataset\openasl\train\3zRUoFOUi4Q-00.04.06.699-00.04.12.680.mp4	openasl
0WcGVcWLLy0-00:07:04.959-00:07:12.060	And it's likely Guy helped Markle fit into the Royal household.	7.15	12	D:\signbridge_dataset\openasl\train\0WcGVcWLLy0-00.07.04.959-00.07.12.060.mp4	openasl
1l6MC-9BQa0_14-5-rgb_front	Over here, I have a hollow body.	5.4	7	D:\signbridge_dataset\how2sign\train\1l6MC-9BQa0_14-5-rgb_front.mp4	how2sign
S69CcNSWj04-00:04:35.958-00:04:42.165	The plane was a Boeing 737-800.	6.207	6	D:\signbridge_dataset\openasl\train\S69CcNSWj04-00.04.35.958-00.04.42.165.mp4	openasl
8Pgz-GaUC6M-00:16:03.544-00:16:10.760	My daughter could speak so she helped with interpreting and communication.	7.216	11	D:\signbridge_dataset\openasl\train\8Pgz-GaUC6M-00.16.03.544-00.16.10.760.mp4	openasl
rrpmoFE9AxQ-00:08:48.193-00:08:56.076	The Mississippi River is also flooded, affecting about 8 states.	7.9	10	D:\signbridge_dataset\openasl\train\rrpmoFE9AxQ-00.08.48.193-00.08.56.076.mp4	openasl
MJijm9kbdHA-00:16:44.840-00:16:46.706	A deaf man who's a musician.	1.9	7	D:\signbridge_dataset\openasl\train\MJijm9kbdHA-00.16.44.840-00.16.46.706.mp4	openasl
14vF1lPQCgc_12-8-rgb_front	Okay, you want to go in and out like this.	4.25	10	D:\signbridge_dataset\how2sign\train\14vF1lPQCgc_12-8-rgb_front.mp4	how2sign
08nsvHZLNfE_25-5-rgb_front	Or rub her shoulder or rub her feet.	2.95	8	D:\signbridge_dataset\how2sign\train\08nsvHZLNfE_25-5-rgb_front.mp4	how2sign
ypsSYB5vDxY-00:02:24.889-00:02:26.919	I hope you can join us there.	2.05	7	D:\signbridge_dataset\openasl\train\ypsSYB5vDxY-00.02.24.889-00.02.26.919.mp4	openasl
z3jAMn3xpoM-00:14:15.754-00:14:17.423	It's actually meant for the eyes.	1.669	7	D:\signbridge_dataset\openasl\train\z3jAMn3xpoM-00.14.15.754-00.14.17.423.mp4	openasl
mNF1kg9azQw-00:25:02.541-00:25:06.046	We asked him to share a statement.	3.505	7	D:\signbridge_dataset\openasl\train\mNF1kg9azQw-00.25.02.541-00.25.06.046.mp4	openasl
E1OPBAVeRgg-00:01:47.579-00:01:52.799	With sign language, we can appreciate culture, theater, and more.	5.25	10	D:\signbridge_dataset\openasl\train\E1OPBAVeRgg-00.01.47.579-00.01.52.799.mp4	openasl
-EsVrbRTMU4_10-8-rgb_front	It's also very difficult to catch in the heel because sometimes the ball will pop out.	4.7	16	D:\signbridge_dataset\how2sign\train\-EsVrbRTMU4_10-8-rgb_front.mp4	how2sign
-8uwu59w8QE_2-8-rgb_front	In this segment, I am going to touch on vending.	3.0	10	D:\signbridge_dataset\how2sign\train\-8uwu59w8QE_2-8-rgb_front.mp4	how2sign
5CGdJ5Cuv5M_12-8-rgb_front	If not, on the third try, after you do that you would get out the time after that.	3.75	18	D:\signbridge_dataset\how2sign\train\5CGdJ5Cuv5M_12-8-rgb_front.mp4	how2sign
-0oP2H0vAGY_10-5-rgb_front	When the murderer chooses they will choose a victim and kill them.	5.15	12	D:\signbridge_dataset\how2sign\train\-0oP2H0vAGY_10-5-rgb_front.mp4	how2sign
wE-HDf4tK9Y-00:17:34.595-00:17:40.726	"You can find more information about this film on Facebook titled as ""The Silent Natural."""	6.15	15	D:\signbridge_dataset\openasl\train\wE-HDf4tK9Y-00.17.34.595-00.17.40.726.mp4	openasl
ixq65EiuJ_c-00:00:08.936-00:00:11.900	This is my sign name.	2.964	5	D:\signbridge_dataset\openasl\train\ixq65EiuJ_c-00.00.08.936-00.00.11.900.mp4	openasl
e2nHkrL-Ejo_4-5-rgb_front	Now once again, since it's a 0/0 creature, you know something is going on.	4.9	14	D:\signbridge_dataset\how2sign\train\e2nHkrL-Ejo_4-5-rgb_front.mp4	how2sign
EjzQn4ReeeI_1-3-rgb_front	So we're going to start by drawing his neck in there like that, maybe give him sort of a v-neck shape to his robe there.	5.85	25	D:\signbridge_dataset\how2sign\val\EjzQn4ReeeI_1-3-rgb_front.mp4	how2sign
E-zi5MLGq_U_3-8-rgb_front	Take your first hand, place it on the small of your back.	3.15	12	D:\signbridge_dataset\how2sign\train\E-zi5MLGq_U_3-8-rgb_front.mp4	how2sign
6xIMOHq41ZE-00:01:49.680-00:01:53.099	This bill mainly focuses on ages 0-5.	3.45	7	D:\signbridge_dataset\openasl\train\6xIMOHq41ZE-00.01.49.680-00.01.53.099.mp4	openasl
47HHNulBaX0_4-5-rgb_front	Now, we're going to first talk about minor seven.	4.0	9	D:\signbridge_dataset\how2sign\train\47HHNulBaX0_4-5-rgb_front.mp4	how2sign
b1hxJIvcgls_10-8-rgb_front	If it's okay for your neck, you can let the neck just drop back if not you want to keep it right in line with your spine.	6.7	27	D:\signbridge_dataset\how2sign\train\b1hxJIvcgls_10-8-rgb_front.mp4	how2sign
b7hLKDoI6mE-00:01:55.920-00:02:03.439	When those other viruses connect to cells, there isn t a perfect match.	7.55	13	D:\signbridge_dataset\openasl\train\b7hLKDoI6mE-00.01.55.920-00.02.03.439.mp4	openasl
hzpuXBlOJjk-00:16:13.639-00:16:18.476	If a hurricane was coming, I would evacuate.	4.85	8	D:\signbridge_dataset\openasl\train\hzpuXBlOJjk-00.16.13.639-00.16.18.476.mp4	openasl
1jVOx59INmU_18-11-rgb_front	We get this pan, so we can get in the oven.	2.65	11	D:\signbridge_dataset\how2sign\train\1jVOx59INmU_18-11-rgb_front.mp4	how2sign
1dCbeG4mwVk_15-8-rgb_front	I hope that gives you all an idea of how to do mountains.	3.2	13	D:\signbridge_dataset\how2sign\train\1dCbeG4mwVk_15-8-rgb_front.mp4	how2sign
b4bK9WtPz4A_19-5-rgb_front	Know where the bird come from.	3.15	6	D:\signbridge_dataset\how2sign\train\b4bK9WtPz4A_19-5-rgb_front.mp4	how2sign
OsbzYfyvI_4-00:07:27.540-00:07:35.240	We began with the story of true triumph and resilience.	7.7	10	D:\signbridge_dataset\openasl\train\OsbzYfyvI_4-00.07.27.540-00.07.35.240.mp4	openasl
pQEx6ySX0Bk-00:06:45.771-00:06:51.978	Mohamed's father was the first president of Guinea.	6.207	9	D:\signbridge_dataset\openasl\train\pQEx6ySX0Bk-00.06.45.771-00.06.51.978.mp4	openasl
V4Uk8C-QpeE-00:00:02.819-00:00:06.459	Do you represent a state association or an organization?	3.65	9	D:\signbridge_dataset\openasl\train\V4Uk8C-QpeE-00.00.02.819-00.00.06.459.mp4	openasl
8vEmhQFW_HM-00:00:52.000-00:00:59.000	Telephone users use local ten-digit numbers and can pay separately for toll free numbers.	7.0	15	D:\signbridge_dataset\openasl\train\8vEmhQFW_HM-00.00.52.000-00.00.59.000.mp4	openasl
1jREUW8hcAY_0-8-rgb_front	Hi I'm Kelli and I am an Aesthetician and makeup artist At Ulta Salon and Cosmetics and I'm going to give you some tips to clear skin.	5.75	27	D:\signbridge_dataset\how2sign\train\1jREUW8hcAY_0-8-rgb_front.mp4	how2sign
jahgak6vSNU-00:04:57.920-00:05:03.420	Now two years later the scars remain and he will need a second surgery soon.	5.5	15	D:\signbridge_dataset\openasl\train\jahgak6vSNU-00.04.57.920-00.05.03.420.mp4	openasl
dVWdls7AMz0-00:01:40.000-00:01:47.359	Parts of the Southeast are digging out from a massive winter storm.	7.4	12	D:\signbridge_dataset\openasl\train\dVWdls7AMz0-00.01.40.000-00.01.47.359.mp4	openasl
AgraECvNR1A-00:04:45.920-00:04:50.240	Botulism is a potentially fatal form of food poisoning.	4.35	9	D:\signbridge_dataset\openasl\train\AgraECvNR1A-00.04.45.920-00.04.50.240.mp4	openasl
_G0RrDVpOZ4_16-5-rgb_front	Kind of shake them out.	1.35	5	D:\signbridge_dataset\how2sign\test\_G0RrDVpOZ4_16-5-rgb_front.mp4	how2sign
byClH8sN7Wg_10-8-rgb_front	I'll do some body work on them.	1.55	7	D:\signbridge_dataset\how2sign\train\byClH8sN7Wg_10-8-rgb_front.mp4	how2sign
Ai6E8ArWukM-00:11:11.940-00:11:18.600	If a crash happens, the seat may lose strength, increasing the risk of injury.	6.7	14	D:\signbridge_dataset\openasl\train\Ai6E8ArWukM-00.11.11.940-00.11.18.600.mp4	openasl
1F83Rt08qMs_0-5-rgb_front	Now we've got our slab prepared, we want to cut it into the shape we're looking for.	6.25	17	D:\signbridge_dataset\how2sign\train\1F83Rt08qMs_0-5-rgb_front.mp4	how2sign
077rQK39ycg_26-5-rgb_front	Just keep moving that around.	1.75	5	D:\signbridge_dataset\how2sign\train\077rQK39ycg_26-5-rgb_front.mp4	how2sign
1ia4jmyCnyk_4-8-rgb_front	Once you go through and try to brush your hair out, it's going to get stuck within the masses of hair for your length.	7.4	24	D:\signbridge_dataset\how2sign\train\1ia4jmyCnyk_4-8-rgb_front.mp4	how2sign
bHEw7t7tJsc_32-5-rgb_front	Sometimes it takes a little time, but just be patient.	3.2	10	D:\signbridge_dataset\how2sign\train\bHEw7t7tJsc_32-5-rgb_front.mp4	how2sign
Bh1nzi3BHMQ_0-8-rgb_front	For you folks out there thinking about buying a telescope for your own use or the use of your children or whatever.	4.95	22	D:\signbridge_dataset\how2sign\train\Bh1nzi3BHMQ_0-8-rgb_front.mp4	how2sign
fk1C9sC3uuw-00:05:55.454-00:06:02.995	And if you get an ACS survey, you can mark down that you're deaf.	7.55	15	D:\signbridge_dataset\openasl\train\fk1C9sC3uuw-00.05.55.454-00.06.02.995.mp4	openasl
BZRSf9WgPyQ-00:11:07.179-00:11:09.279	I'm so sorry that I couldn't rescue you.	2.1	10	D:\signbridge_dataset\openasl\train\BZRSf9WgPyQ-00.11.07.179-00.11.09.279.mp4	openasl
bD9Ps8xcxLQ-00:00:18.739-00:00:20.179	I need coffee.	1.45	3	D:\signbridge_dataset\openasl\train\bD9Ps8xcxLQ-00.00.18.739-00.00.20.179.mp4	openasl
Bd2YIcGbbJg-00:02:53.233-00:02:59.366	President Trump possibly killed any chance of immigration bill passing any time soon.	6.15	13	D:\signbridge_dataset\openasl\test\Bd2YIcGbbJg-00.02.53.233-00.02.59.366.mp4	openasl
6xIMOHq41ZE-00:02:24.139-00:02:29.080	Third, we also recognize the mandate by delegates to work to prevent Language Deprivation.	4.95	14	D:\signbridge_dataset\openasl\train\6xIMOHq41ZE-00.02.24.139-00.02.29.080.mp4	openasl
