vid,yid,start,end,raw-text,tokenized-text,gloss,split,duration_sec,word_count,status
xecv4abyVIM-00:04:48.913-00:04:50.624,xecv4abyVIM,00:04:48.913,00:04:50.624,Captioned by aslcaptions.com,captioned by aslcaptions.com,,train,1.7110000000000127,3,missing_npz
HZ8H8pfNwLA-00:00:04.169-00:00:06.673,HZ8H8pfNwLA,00:00:04.169,00:00:06.673,"Hello, welcome to the Daily Moth!",hello welcome to the daily moth,,train,2.5040000000000004,6,missing_npz
xecv4abyVIM-00:01:41.977-00:01:47.649,xecv4abyVIM,00:01:41.977,00:01:47.649,All members of state legislatures are elected.,all members of state legislatures are elected,,train,5.671999999999997,7,missing_npz
xecv4abyVIM-00:02:48.043-00:02:54.466,xecv4abyVIM,00:02:48.043,00:02:54.466,How do you judge which candidates are the best candidates for you?,how do you judge which candidates are the best candidates for you,,train,6.423000000000002,12,missing_npz
HZ8H8pfNwLA-00:00:06.673-00:00:09.644,HZ8H8pfNwLA,00:00:06.673,00:00:09.644,"It is Wednesday, May 1.","it is wednesday, may 1",,train,2.971,5,missing_npz
HZ8H8pfNwLA-00:00:09.644-00:00:11.711,HZ8H8pfNwLA,00:00:09.644,00:00:11.711,Ready for news?,ready for news,,train,2.067,3,missing_npz
xecv4abyVIM-00:00:00.292-00:00:02.794,xecv4abyVIM,00:00:00.292,00:00:02.794,Hello!,hello,,train,2.502,1,missing_npz
xecv4abyVIM-00:00:02.794-00:00:08.090,xecv4abyVIM,00:00:02.794,00:00:08.090,I finally got my mail-in ballot.,i finally got my mail in ballot,,train,5.295999999999999,7,missing_npz
HZ8H8pfNwLA-00:15:17.750-00:15:21.653,HZ8H8pfNwLA,00:15:17.750,00:15:21.653,"When I woke up, I realized that someone was demolishing my house.",when i woke up i realized that someone was demolishing my house,,train,3.90300000000002,12,missing_npz
HZ8H8pfNwLA-00:15:22.821-00:15:26.191,HZ8H8pfNwLA,00:15:22.821,00:15:26.191,I walked outside onto the front porch.,i walked outside onto the front porch,,train,3.3700000000000045,7,missing_npz
HZ8H8pfNwLA-00:15:26.191-00:15:31.764,HZ8H8pfNwLA,00:15:26.191,00:15:31.764,I saw that there was a tarp set up to my left so I couldn't walk around my house.,i saw that there was a tarp set up to my left so i could n't walk around my house,,train,5.572999999999979,20,missing_npz
HZ8H8pfNwLA-00:17:12.230-00:17:15.867,HZ8H8pfNwLA,00:17:12.230,00:17:15.867,I was injured and went to the hospital.,i was injured and went to the hospital,,train,3.636999999999944,8,missing_npz
HZ8H8pfNwLA-00:17:07.125-00:17:12.230,HZ8H8pfNwLA,00:17:07.125,00:17:12.230,"The crew said they knocked on the door, but of course I didn't answer because I'm deaf!",the crew said they knocked on the door but of course i did n't answer because i 'm deaf,,train,5.105000000000018,19,missing_npz
HZ8H8pfNwLA-00:15:31.764-00:15:35.200,HZ8H8pfNwLA,00:15:31.764,00:15:35.200,I tried to yell for the crew to stop.,i tried to yell for the crew to stop,,train,3.4360000000000355,9,missing_npz
HZ8H8pfNwLA-00:16:03.629-00:16:06.865,HZ8H8pfNwLA,00:16:03.629,00:16:06.865,Then they called their boss who later arrived at my house.,then they called their boss who later arrived at my house,,train,3.23599999999999,11,missing_npz
8y54C5UiktI-00:03:15.770-00:03:18.360,8y54C5UiktI,00:03:15.770,00:03:18.360,"Don t follow or be like me, okay?",don t follow or be like me okay,,train,2.5900000000000034,8,missing_npz
8y54C5UiktI-00:02:37.742-00:02:39.378,8y54C5UiktI,00:02:37.742,00:02:39.378,What?,what,,train,1.6359999999999957,1,missing_npz
8y54C5UiktI-00:02:33.080-00:02:37.742,8y54C5UiktI,00:02:33.080,00:02:37.742,(Tapping) What?,tapping what,,train,4.662000000000006,2,missing_npz
8y54C5UiktI-00:02:21.580-00:02:26.991,8y54C5UiktI,00:02:21.580,00:02:26.991,"Deaf Bing: When lights flash, Deaf people move around in panic, thinking it is an alarm.",deaf bing when lights flash deaf people move around in panic thinking it is an alarm,,train,5.411000000000001,16,missing_npz
8y54C5UiktI-00:02:17.409-00:02:19.038,8y54C5UiktI,00:02:17.409,00:02:19.038,I have an acting role.,i have an acting role,,train,1.629000000000019,5,missing_npz
8y54C5UiktI-00:02:50.159-00:02:52.080,8y54C5UiktI,00:02:50.159,00:02:52.080,(Clicking) I am making sure.,clicking i am making sure,,train,1.9209999999999925,5,missing_npz
8y54C5UiktI-00:04:47.920-00:04:54.690,8y54C5UiktI,00:04:47.920,00:04:54.690,Deaf Bing  That Deaf Bing!,deaf bing that deaf bing,,train,6.769999999999982,5,missing_npz
8y54C5UiktI-00:04:41.379-00:04:42.903,8y54C5UiktI,00:04:41.379,00:04:42.903,Turn it up to 100!,turn it up to 100,,train,1.524000000000001,5,missing_npz
8y54C5UiktI-00:04:39.100-00:04:41.339,8y54C5UiktI,00:04:39.100,00:04:41.339,Deaf Bing: Music at level 50  No!,deaf bing: music at level 50 no,,train,2.238999999999976,7,missing_npz
8y54C5UiktI-00:03:51.960-00:03:56.948,8y54C5UiktI,00:03:51.960,00:03:56.948,One of the Deaf Bings is when you have bad sunburn and Deaf people tap me on the shoulders.,one of the deaf bings is when you have bad sunburn and deaf people tap me on the shoulders,,train,4.988,19,missing_npz
8y54C5UiktI-00:00:46.619-00:00:48.420,8y54C5UiktI,00:00:46.619,00:00:48.420,Deaf Bing: Watch this.,deaf bing watch this,,train,1.801000000000002,4,missing_npz
8y54C5UiktI-00:01:36.251-00:01:39.938,8y54C5UiktI,00:01:36.251,00:01:39.938,"An example is when I try to get people to move, I ll see my hand in pictures!",an example is when i try to get people to move i ll see my hand in pictures,,train,3.6869999999999976,18,missing_npz
8y54C5UiktI-00:01:34.879-00:01:36.251,8y54C5UiktI,00:01:34.879,00:01:36.251,Deaf photographers bing what?,deaf photographers bing what,,train,1.372000000000014,4,missing_npz
cunzvS3XRX4-00:00:08.807-00:00:10.968,cunzvS3XRX4,00:00:08.807,00:00:10.968,Ready for the news?,ready for the news,,train,2.161,4,missing_npz
cunzvS3XRX4-00:00:03.503-00:00:06.214,cunzvS3XRX4,00:00:03.503,00:00:06.214,"Hello, welcome to the Daily Moth.",hello welcome to the daily moth,,train,2.7110000000000003,6,missing_npz
zViz5q_jppE-00:00:03.169-00:00:06.339,zViz5q_jppE,00:00:03.169,00:00:06.339,"It is Monday, July 20.","it is monday, july 20",,train,3.1700000000000004,5,missing_npz
SsQxB7yYxgQ-00:05:18.218-00:05:20.452,SsQxB7yYxgQ,00:05:18.218,00:05:20.452,Captioned by aslcaptions.com,captioned by aslcaptions.com,,train,2.2339999999999804,3,missing_npz
SsQxB7yYxgQ-00:04:06.913-00:04:10.015,SsQxB7yYxgQ,00:04:06.913,00:04:10.015,I can't even drive back there.,i ca n't even drive back there,,train,3.1019999999999754,7,missing_npz
SsQxB7yYxgQ-00:00:33.933-00:00:37.938,SsQxB7yYxgQ,00:00:33.933,00:00:37.938,Hello I'm Randall Smith.,hello i 'm randall smith,,train,4.005000000000003,5,missing_npz
Swrk-C5k6bw-00:02:56.810-00:03:00.680,Swrk-C5k6bw,00:02:56.810,00:03:00.680,I already knew that it would be shut someday with more cases.,i already knew that it would be shut someday with more cases,,train,3.870000000000005,12,missing_npz
Swrk-C5k6bw-00:02:52.338-00:02:56.810,Swrk-C5k6bw,00:02:52.338,00:02:56.810,"Those who work with the product, nobody is there.",those who work with the product nobody is there,,train,4.472000000000008,9,missing_npz
Swrk-C5k6bw-00:02:02.956-00:02:05.125,Swrk-C5k6bw,00:02:02.956,00:02:05.125,I had to bear it and take medicine.,i had to bear it and take medicine,,train,2.168999999999997,8,missing_npz
Swrk-C5k6bw-00:03:04.818-00:03:06.919,Swrk-C5k6bw,00:03:04.818,00:03:06.919,I knew it would shut down.,i knew it would shut down,,train,2.100999999999999,6,missing_npz
SsQxB7yYxgQ-00:03:53.265-00:03:54.935,SsQxB7yYxgQ,00:03:53.265,00:03:54.935,This was overnight.,this was overnight,,train,1.670000000000016,3,missing_npz
SsQxB7yYxgQ-00:02:41.627-00:02:47.401,SsQxB7yYxgQ,00:02:41.627,00:02:47.401,"It was only 500 acres in size, which is relatively small.",it was only 500 acres in size which is relatively small,,train,5.774000000000001,11,missing_npz
SsQxB7yYxgQ-00:02:16.135-00:02:17.871,SsQxB7yYxgQ,00:02:16.135,00:02:17.871,I stopped working then.,i stopped working then,,train,1.7360000000000184,4,missing_npz
X9g3sN6TA1I-00:00:08.695-00:00:10.926,X9g3sN6TA1I,00:00:08.695,00:00:10.926,Ready for the news?,ready for the news,,train,2.231,4,missing_npz
X9g3sN6TA1I-00:00:06.131-00:00:08.695,X9g3sN6TA1I,00:00:06.131,00:00:08.695,"It's Friday, October 4.","it 's friday, october 4",,train,2.564,5,missing_npz
X9g3sN6TA1I-00:00:03.419-00:00:06.131,X9g3sN6TA1I,00:00:03.419,00:00:06.131,"Hello, welcome to the Daily Moth.",hello welcome to the daily moth,,train,2.712,6,missing_npz
zViz5q_jppE-00:10:01.634-00:10:03.168,zViz5q_jppE,00:10:01.634,00:10:03.168,Captioned by aslcaptions.com,captioned by aslcaptions.com,,train,1.5339999999999918,3,missing_npz
zViz5q_jppE-00:09:58.697-00:10:01.634,zViz5q_jppE,00:09:58.697,00:10:01.634,See you tomorrow and stay with the light!,see you tomorrow and stay with the light,,train,2.937000000000012,8,missing_npz
8kr8G6TzCbM-00:02:24.617-00:02:28.848,8kr8G6TzCbM,00:02:24.617,00:02:28.848,But before this he already had many years of experience and traveling.,but before this he already had many years of experience and traveling,,train,4.231000000000023,12,missing_npz
8kr8G6TzCbM-00:02:20.674-00:02:24.617,8kr8G6TzCbM,00:02:20.674,00:02:24.617,"When we met, we connected on this and expanded.",when we met we connected on this and expanded,,train,3.942999999999984,9,missing_npz
8kr8G6TzCbM-00:02:17.737-00:02:20.674,8kr8G6TzCbM,00:02:17.737,00:02:20.674,He farmed for a living.,he farmed for a living,,train,2.937000000000012,5,missing_npz
8kr8G6TzCbM-00:02:12.733-00:02:17.737,8kr8G6TzCbM,00:02:12.733,00:02:17.737,Is it from a family inheritance or was it a passion of yours?,is it from a family inheritance or was it a passion of yours,,train,5.003999999999991,13,missing_npz
8kr8G6TzCbM-00:02:07.960-00:02:10.663,8kr8G6TzCbM,00:02:07.960,00:02:10.663,I am Blair Ramsus.,i am blair ramsus,,train,2.703000000000017,4,missing_npz
8kr8G6TzCbM-00:02:02.656-00:02:07.960,8kr8G6TzCbM,00:02:02.656,00:02:07.960,"I am a farmer and a carpenter among other skills, I live here in Northern California.",i am a farmer and a carpenter among other skills i live here in northern california,,train,5.303999999999988,16,missing_npz
8kr8G6TzCbM-00:02:00.953-00:02:02.656,8kr8G6TzCbM,00:02:00.953,00:02:02.656,"Hi, I'm Stuart Soboleski.",hi i 'm stuart soboleski,,train,1.703000000000003,5,missing_npz
8kr8G6TzCbM-00:01:18.512-00:01:22.248,8kr8G6TzCbM,00:01:18.512,00:01:22.248,I want to know what is your farm's name?,i want to know what is your farm 's name,,train,3.736000000000004,10,missing_npz
8kr8G6TzCbM-00:00:05.471-00:00:12.044,8kr8G6TzCbM,00:00:05.471,00:00:12.044,"Food stores would be closed, restaurants would shut down because they couldn't serve food.",food stores would be closed restaurants would shut down because they could n't serve food,,train,6.573,15,missing_npz
8kr8G6TzCbM-00:04:27.934-00:04:30.704,8kr8G6TzCbM,00:04:27.934,00:04:30.704,I grew up farming my whole life.,i grew up farming my whole life,,train,2.769999999999982,7,missing_npz
8kr8G6TzCbM-00:03:06.770-00:03:10.556,8kr8G6TzCbM,00:03:06.770,00:03:10.556,"It was family, food, animals and I was just fascinated with it.",it was family food animals and i was just fascinated with it,,train,3.786000000000002,12,missing_npz
8kr8G6TzCbM-00:04:20.954-00:04:24.531,8kr8G6TzCbM,00:04:20.954,00:04:24.531,That's how I got my passion.,that 's how i got my passion,,train,3.576999999999998,7,missing_npz
8kr8G6TzCbM-00:05:16.682-00:05:18.752,8kr8G6TzCbM,00:05:16.682,00:05:18.752,How many acres?,how many acres,,train,2.069999999999993,3,missing_npz
wH3lJm0Typ0-00:21:17.576-00:21:20.211,wH3lJm0Typ0,00:21:17.576,00:21:20.211,See you tomorrow and stay with the light!,see you tomorrow and stay with the light,,train,2.634999999999991,8,missing_npz
wH3lJm0Typ0-00:20:07.638-00:20:11.276,wH3lJm0Typ0,00:20:07.638,00:20:11.276,You know?,you know,,train,3.6380000000001473,2,missing_npz
wH3lJm0Typ0-00:19:34.673-00:19:38.109,wH3lJm0Typ0,00:19:34.673,00:19:38.109,"After I finished my defense, they asked me all these questions which I found really touching.",after i finished my defense they asked me all these questions which i found really touching,,train,3.435999999999922,16,missing_npz
wH3lJm0Typ0-00:19:33.038-00:19:34.673,wH3lJm0Typ0,00:19:33.038,00:19:34.673,They asked all these questions.,they asked all these questions,,train,1.634999999999991,5,missing_npz
wH3lJm0Typ0-00:19:30.402-00:19:33.038,wH3lJm0Typ0,00:19:30.402,00:19:33.038,"""Will she be on television?""",will she be on television,,train,2.635999999999968,5,missing_npz
wH3lJm0Typ0-00:19:28.678-00:19:30.402,wH3lJm0Typ0,00:19:28.678,00:19:30.402,"""What does she do?""",what does she do,,train,1.7239999999999327,4,missing_npz
wH3lJm0Typ0-00:20:11.276-00:20:14.145,wH3lJm0Typ0,00:20:11.276,00:20:14.145,I almost want to cry thinking about it.,i almost want to cry thinking about it,,train,2.8689999999999145,8,missing_npz
wH3lJm0Typ0-00:19:27.298-00:19:28.678,wH3lJm0Typ0,00:19:27.298,00:19:28.678,"""Is she famous?""",is she famous,,train,1.3800000000001091,3,missing_npz
wH3lJm0Typ0-00:19:18.824-00:19:20.592,wH3lJm0Typ0,00:19:18.824,00:19:20.592,That really touched me.,that really touched me,,train,1.768000000000029,4,missing_npz
wH3lJm0Typ0-00:18:55.634-00:18:57.702,wH3lJm0Typ0,00:18:55.634,00:18:57.702,You'll be off to a good start.,you 'll be off to a good start,,train,2.067999999999984,8,missing_npz
wH3lJm0Typ0-00:18:50.061-00:18:55.634,wH3lJm0Typ0,00:18:50.061,00:18:55.634,"I think if you have that, you capitalize on that support system.",i think if you have that you capitalize on that support system,,train,5.573000000000093,12,missing_npz
wH3lJm0Typ0-00:18:44.355-00:18:50.061,wH3lJm0Typ0,00:18:44.355,00:18:50.061,Plus having several people of color who can understand your experiences and navigate you.,plus having several people of color who can understand your experiences and navigate you,,train,5.705999999999904,14,missing_npz
wH3lJm0Typ0-00:18:37.048-00:18:44.355,wH3lJm0Typ0,00:18:37.048,00:18:44.355,"I'm a person of color, so a person with privileges and has access - I've capitalized on that.",i 'm a person of color so a person with privileges and has access i 've capitalized on that,,train,7.307000000000016,19,missing_npz
wH3lJm0Typ0-00:18:21.866-00:18:26.171,wH3lJm0Typ0,00:18:21.866,00:18:26.171,A person who knows the field and can guide you.,a person who knows the field and can guide you,,train,4.305000000000064,10,missing_npz
wH3lJm0Typ0-00:18:19.798-00:18:21.866,wH3lJm0Typ0,00:18:19.798,00:18:21.866,A person who you cherish.,a person who you cherish,,train,2.067999999999984,5,missing_npz
wH3lJm0Typ0-00:20:14.145-00:20:17.249,wH3lJm0Typ0,00:20:14.145,00:20:17.249,There's a bunch of impacts I can have on these kids.,there 's a bunch of impacts i can have on these kids,,train,3.104000000000042,12,missing_npz
wH3lJm0Typ0-00:20:23.721-00:20:26.357,wH3lJm0Typ0,00:20:23.721,00:20:26.357,"It's now 2019 and still, that's an issue.",it 's now 2019 and still that 's an issue,,train,2.635999999999968,10,missing_npz
wH3lJm0Typ0-00:21:11.936-00:21:14.071,wH3lJm0Typ0,00:21:11.936,00:21:14.071,Thank you so much for doing this story.,thank you so much for doing this story,,train,2.134999999999991,8,missing_npz
wH3lJm0Typ0-00:21:10.134-00:21:11.936,wH3lJm0Typ0,00:21:10.134,00:21:11.936,But I made it!,but i made it,,train,1.8019999999999072,4,missing_npz
wH3lJm0Typ0-00:21:08.310-00:21:10.134,wH3lJm0Typ0,00:21:08.310,00:21:10.134,"It was hard, so hard!",it was hard so hard,,train,1.824000000000069,5,missing_npz
wH3lJm0Typ0-00:20:29.827-00:20:31.797,wH3lJm0Typ0,00:20:29.827,00:20:31.797,We should be able to approach people.,we should be able to approach people,,train,1.9700000000000275,7,missing_npz
wH3lJm0Typ0-00:20:26.357-00:20:29.827,wH3lJm0Typ0,00:20:26.357,00:20:29.827,"I feel that, by now, it shouldn't be that big of a deal.",i feel that by now it should n't be that big of a deal,,train,3.470000000000028,14,missing_npz
8kr8G6TzCbM-00:07:35.908-00:07:39.259,8kr8G6TzCbM,00:07:35.908,00:07:39.259,We are only just starting.,we are only just starting,,train,3.350999999999999,5,missing_npz
8kr8G6TzCbM-00:07:26.687-00:07:31.418,8kr8G6TzCbM,00:07:26.687,00:07:31.418,"This is by offering programs, educational activities and various experiences.",this is by offering programs educational activities and various experiences,,train,4.7309999999999945,10,missing_npz
8kr8G6TzCbM-00:07:05.057-00:07:08.228,8kr8G6TzCbM,00:07:05.057,00:07:08.228,"I did some gardening, but it was not much.",i did some gardening but it was not much,,train,3.1709999999999923,9,missing_npz
8kr8G6TzCbM-00:07:02.021-00:07:05.057,8kr8G6TzCbM,00:07:02.021,00:07:05.057,My childhood home is here in California.,my childhood home is here in california,,train,3.0360000000000014,7,missing_npz
8kr8G6TzCbM-00:06:52.411-00:06:56.115,8kr8G6TzCbM,00:06:52.411,00:06:56.115,"We don't use it all, just here and there.",we do n't use it all just here and there,,train,3.704000000000008,10,missing_npz
8kr8G6TzCbM-00:06:36.795-00:06:39.232,8kr8G6TzCbM,00:06:36.795,00:06:39.232,We just do our own thing here.,we just do our own thing here,,train,2.436999999999955,7,missing_npz
8kr8G6TzCbM-00:06:21.680-00:06:26.798,8kr8G6TzCbM,00:06:21.680,00:06:26.798,"Do you have to fit an ""ideal farm?""",do you have to fit an ideal farm,,train,5.117999999999995,8,missing_npz
8kr8G6TzCbM-00:06:09.495-00:06:13.607,8kr8G6TzCbM,00:06:09.495,00:06:13.607,It is the size of six football fields.,it is the size of six football fields,,train,4.111999999999966,8,missing_npz
8kr8G6TzCbM-00:05:30.608-00:05:31.947,8kr8G6TzCbM,00:05:30.608,00:05:31.947,It is a big farm.,it is a big farm,,train,1.3389999999999986,5,missing_npz
8kr8G6TzCbM-00:06:41.872-00:06:48.375,8kr8G6TzCbM,00:06:41.872,00:06:48.375,"We have goats here, with the combined land 150 acres.",we have goats here with the combined land 150 acres,,train,6.502999999999986,10,missing_npz
8kr8G6TzCbM-00:10:38.337-00:10:39.739,8kr8G6TzCbM,00:10:38.337,00:10:39.739,Captioned by www.DPAN.com,captioned by www.dpan.com,,train,1.4020000000000437,3,missing_npz
8kr8G6TzCbM-00:10:29.145-00:10:34.500,8kr8G6TzCbM,00:10:29.145,00:10:34.500,Are you considering going into farming?,are you considering going into farming,,train,5.355000000000018,6,missing_npz
8kr8G6TzCbM-00:09:27.433-00:09:29.958,8kr8G6TzCbM,00:09:27.433,00:09:29.958,I am still learning that.,i am still learning that,,train,2.5249999999999773,5,missing_npz
8kr8G6TzCbM-00:09:08.587-00:09:15.488,8kr8G6TzCbM,00:09:08.587,00:09:15.488,"This is because the seeds we share, with the pollen that comes, it helps our crops.",this is because the seeds we share with the pollen that comes it helps our crops,,train,6.901000000000067,16,missing_npz
8kr8G6TzCbM-00:09:04.878-00:09:08.587,8kr8G6TzCbM,00:09:04.878,00:09:08.587,"In times ago, old farmers shared seeds and wisdom.",in times ago old farmers shared seeds and wisdom,,train,3.7089999999999455,9,missing_npz
8kr8G6TzCbM-00:10:05.471-00:10:08.424,8kr8G6TzCbM,00:10:05.471,00:10:08.424,I am fascinated.,i am fascinated,,train,2.9529999999999745,3,missing_npz
wH3lJm0Typ0-00:18:05.750-00:18:10.888,wH3lJm0Typ0,00:18:05.750,00:18:10.888,It was the perfect field for me to go into.,it was the perfect field for me to go into,,train,5.13799999999992,10,missing_npz
