vid	yid	start	end	text	duration_sec	word_count	split	keypoint_path	n_frames
JaJWiCEmDQQ-00:00:09.228-00:00:10.833	JaJWiCEmDQQ	00:00:09.228	00:00:10.833	Ready for news?	1.6050000000000004	3	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\JaJWiCEmDQQ-00-00-09.228-00-00-10.833.npz	32
JaJWiCEmDQQ-00:04:16.750-00:04:24.165	JaJWiCEmDQQ	00:04:16.750	00:04:24.165	There is one more separate but related news story - Lev Parnas.	7.41500000000002	11	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\JaJWiCEmDQQ-00-04-16.750-00-04-24.165.npz	148
JaJWiCEmDQQ-00:09:16.000-00:09:22.625	JaJWiCEmDQQ	00:09:16.000	00:09:22.625	She announced she raised $2,000 from supporters all over the world.	6.625	11	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\JaJWiCEmDQQ-00-09-16.000-00-09-22.625.npz	132
JaJWiCEmDQQ-00:08:42.832-00:08:47.791	JaJWiCEmDQQ	00:08:42.832	00:08:47.791	They've raised $2,700 so far.	4.958999999999946	6	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\JaJWiCEmDQQ-00-08-42.832-00-08-47.791.npz	99
JaJWiCEmDQQ-00:08:39.582-00:08:42.832	JaJWiCEmDQQ	00:08:39.582	00:08:42.832	The link is in the transcript.	3.25	6	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\JaJWiCEmDQQ-00-08-39.582-00-08-42.832.npz	65
JaJWiCEmDQQ-00:07:05.458-00:07:12.165	JaJWiCEmDQQ	00:07:05.458	00:07:12.165	The ash causes oxygen levels in the water to drop.	6.706999999999994	10	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\JaJWiCEmDQQ-00-07-05.458-00-07-12.165.npz	134
JaJWiCEmDQQ-00:06:43.083-00:06:46.790	JaJWiCEmDQQ	00:06:43.083	00:06:46.790	Some of them were caused by lightning.	3.7070000000000505	7	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\JaJWiCEmDQQ-00-06-43.083-00-06-46.790.npz	74
ftjAL7MnqsE-00:03:53.199-00:03:58.671	ftjAL7MnqsE	00:03:53.199	00:03:58.671	A trial is scheduled for March.	5.47199999999998	6	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\ftjAL7MnqsE-00-03-53.199-00-03-58.671.npz	109
jEjtVRj8yRA-00:00:29.428-00:00:33.399	jEjtVRj8yRA	00:00:29.428	00:00:33.399	The rule change was announced last week.	3.971	7	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\jEjtVRj8yRA-00-00-29.428-00-00-33.399.npz	79
jEjtVRj8yRA-00:00:11.111-00:00:14.480	jEjtVRj8yRA	00:00:11.111	00:00:14.480	Are you ready for our top news?	3.369	7	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\jEjtVRj8yRA-00-00-11.111-00-00-14.480.npz	67
ftjAL7MnqsE-00:06:48.375-00:06:51.845	ftjAL7MnqsE	00:06:48.375	00:06:51.845	Have a good weekend and stay with the light!	3.470000000000028	9	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\ftjAL7MnqsE-00-06-48.375-00-06-51.845.npz	69
ftjAL7MnqsE-00:06:45.738-00:06:48.375	ftjAL7MnqsE	00:06:45.738	00:06:48.375	Check out our Deaf News videos.	2.6370000000000005	6	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\ftjAL7MnqsE-00-06-45.738-00-06-48.375.npz	53
ftjAL7MnqsE-00:06:42.101-00:06:45.738	ftjAL7MnqsE	00:06:42.101	00:06:45.738	That is all the top news for this week.	3.637000000000001	9	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\ftjAL7MnqsE-00-06-42.101-00-06-45.738.npz	73
ftjAL7MnqsE-00:05:51.050-00:05:57.023	ftjAL7MnqsE	00:05:51.050	00:05:57.023	500,000 residents in Oregon have evacuated from their homes.	5.973000000000013	9	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\ftjAL7MnqsE-00-05-51.050-00-05-57.023.npz	119
ftjAL7MnqsE-00:05:43.108-00:05:51.050	ftjAL7MnqsE	00:05:43.108	00:05:51.050	Portland, Oregon has declared a state of emergency because wildfires are approaching the city.	7.942000000000007	14	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\ftjAL7MnqsE-00-05-43.108-00-05-51.050.npz	159
jEjtVRj8yRA-00:00:45.978-00:00:51.951	jEjtVRj8yRA	00:00:45.978	00:00:51.951	"Now the rule change is scrapped and it's back to ""normal."""	5.972999999999999	12	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\jEjtVRj8yRA-00-00-45.978-00-00-51.951.npz	119
jEjtVRj8yRA-00:01:20.180-00:01:23.716	jEjtVRj8yRA	00:01:20.180	00:01:23.716	Most of the deaths happened in Nepal.	3.5360000000000014	7	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\jEjtVRj8yRA-00-01-20.180-00-01-23.716.npz	71
jEjtVRj8yRA-00:01:23.716-00:01:31.158	jEjtVRj8yRA	00:01:23.716	00:01:31.158	Millions of people's lives and homes are disrupted or destroyed from overflowing rivers.	7.441999999999993	14	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\jEjtVRj8yRA-00-01-23.716-00-01-31.158.npz	149
MJijm9kbdHA-00:15:52.666-00:15:55.166	MJijm9kbdHA	00:15:52.666	00:15:55.166	It means if you mess up, you mess up.	2.5	9	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-15-52.666-00-15-55.166.npz	50
MJijm9kbdHA-00:15:50.082-00:15:52.666	MJijm9kbdHA	00:15:50.082	00:15:52.666	I always enjoy performing live on TV.	2.5839999999999463	7	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-15-50.082-00-15-52.666.npz	52
MJijm9kbdHA-00:14:37.375-00:14:39.291	MJijm9kbdHA	00:14:37.375	00:14:39.291	Thank you for sharing.	1.91599999999994	4	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-14-37.375-00-14-39.291.npz	38
MJijm9kbdHA-00:14:29.500-00:14:32.375	MJijm9kbdHA	00:14:29.500	00:14:32.375	Acting jobs are not easy!	2.875	5	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-14-29.500-00-14-32.375.npz	58
MJijm9kbdHA-00:14:25.875-00:14:29.500	MJijm9kbdHA	00:14:25.875	00:14:29.500	So, young actors, you have my respect.	3.625	7	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-14-25.875-00-14-29.500.npz	72
MJijm9kbdHA-00:14:20.082-00:14:22.541	MJijm9kbdHA	00:14:20.082	00:14:22.541	The kids started to feel fatigued.	2.45900000000006	6	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-14-20.082-00-14-22.541.npz	49
MJijm9kbdHA-00:14:14.207-00:14:20.082	MJijm9kbdHA	00:14:14.207	00:14:20.082	It was exciting in the morning but as the day dragged on, the (crew) had to encourage the kids to look happy, to smile.	5.875	24	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-14-14.207-00-14-20.082.npz	118
MJijm9kbdHA-00:14:55.375-00:14:58.457	MJijm9kbdHA	00:14:55.375	00:14:58.457	Congratulations to the LeFors family.	3.0819999999999936	5	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-14-55.375-00-14-58.457.npz	62
MJijm9kbdHA-00:14:12.125-00:14:14.207	MJijm9kbdHA	00:14:12.125	00:14:14.207	We were worn out.	2.0819999999999936	4	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-14-12.125-00-14-14.207.npz	42
MJijm9kbdHA-00:16:18.082-00:16:20.500	MJijm9kbdHA	00:16:18.082	00:16:20.500	It's my first album in seven years.	2.4180000000000064	8	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-16-18.082-00-16-20.500.npz	48
MJijm9kbdHA-00:16:27.125-00:16:31.000	MJijm9kbdHA	00:16:27.125	00:16:31.000	"The reason for ""Little Victories"" is because I felt it was the right time."	3.875	14	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-16-27.125-00-16-31.000.npz	78
MJijm9kbdHA-00:18:13.040-00:18:15.083	MJijm9kbdHA	00:18:13.040	00:18:15.083	I'm really looking forward to that.	2.04300000000012	7	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-18-13.040-00-18-15.083.npz	41
MJijm9kbdHA-00:16:49.707-00:16:56.832	MJijm9kbdHA	00:16:49.707	00:16:56.832	I'm asking you to respect me as a musician, as an artist, and as someone who is really passionate about music and sharing it with people.	7.125	27	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-16-49.707-00-16-56.832.npz	142
MJijm9kbdHA-00:16:48.082-00:16:49.707	MJijm9kbdHA	00:16:48.082	00:16:49.707	I'm not asking for that.	1.625	6	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-16-48.082-00-16-49.707.npz	32
MJijm9kbdHA-00:16:46.707-00:16:48.082	MJijm9kbdHA	00:16:46.707	00:16:48.082	"Ooh, wow!"""	1.375	2	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-16-46.707-00-16-48.082.npz	28
MJijm9kbdHA-00:16:44.840-00:16:46.706	MJijm9kbdHA	00:16:44.840	00:16:46.706	A deaf man who's a musician.	1.8659999999999848	7	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-16-44.840-00-16-46.706.npz	37
MJijm9kbdHA-00:16:31.000-00:16:32.666	MJijm9kbdHA	00:16:31.000	00:16:32.666	I just woke up one morning and said let's go!	1.66599999999994	11	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-16-31.000-00-16-32.666.npz	33
MJijm9kbdHA-00:18:17.539-00:18:22.777	MJijm9kbdHA	00:18:17.539	00:18:22.777	"Go to DeafandLoud.com and click on ""Buy Now."""	5.238000000000056	8	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-18-17.539-00-18-22.777.npz	105
MJijm9kbdHA-00:14:07.041-00:14:12.125	MJijm9kbdHA	00:14:07.041	00:14:12.125	We all had to act all day, for one entire day.	5.083999999999946	11	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-14-07.041-00-14-12.125.npz	102
MJijm9kbdHA-00:14:00.000-00:14:04.791	MJijm9kbdHA	00:14:00.000	00:14:04.791	Sometimes the kids would say things and didn't think it felt right, so we'd do a retake.	4.791000000000054	19	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-14-00.000-00-14-04.791.npz	96
MJijm9kbdHA-00:10:48.916-00:10:55.375	MJijm9kbdHA	00:10:48.916	00:10:55.375	Johnson worked for NASA for more than 30 years.	6.45900000000006	9	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-10-48.916-00-10-55.375.npz	129
MJijm9kbdHA-00:08:17.458-00:08:22.165	MJijm9kbdHA	00:08:17.458	00:08:22.165	The state primary is on Saturday.	4.7070000000000505	6	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-08-17.458-00-08-22.165.npz	94
MJijm9kbdHA-00:07:25.750-00:07:29.458	MJijm9kbdHA	00:07:25.750	00:07:29.458	"He said ""I bought - I got them"" in a verbal slip-up."	3.70799999999997	12	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-07-25.750-00-07-29.458.npz	74
MJijm9kbdHA-00:11:55.916-00:12:00.582	MJijm9kbdHA	00:11:55.916	00:12:00.582	I did an interview with them last week before the show aired.	4.666000000000054	12	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-11-55.916-00-12-00.582.npz	93
MJijm9kbdHA-00:13:57.582-00:14:00.000	MJijm9kbdHA	00:13:57.582	00:14:00.000	We would oblige.	2.4180000000000064	3	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-13-57.582-00-14-00.000.npz	48
MJijm9kbdHA-00:13:52.082-00:13:57.582	MJijm9kbdHA	00:13:52.082	00:13:57.582	Adam (the host) would say out lines and then want to do a retake.	5.5	14	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-13-52.082-00-13-57.582.npz	110
MJijm9kbdHA-00:13:44.916-00:13:52.082	MJijm9kbdHA	00:13:44.916	00:13:52.082	Now, for the scenes when we stood together -- for those parts, there were some retakes.	7.166000000000054	16	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-13-44.916-00-13-52.082.npz	143
MJijm9kbdHA-00:13:40.291-00:13:44.916	MJijm9kbdHA	00:13:40.291	00:13:44.916	All the facial expressions and reactions were authentic.	4.625	8	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-13-40.291-00-13-44.916.npz	92
MJijm9kbdHA-00:13:38.166-00:13:40.291	MJijm9kbdHA	00:13:38.166	00:13:40.291	There were no repetitions.	2.125	4	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-13-38.166-00-13-40.291.npz	42
MJijm9kbdHA-00:13:30.457-00:13:38.166	MJijm9kbdHA	00:13:30.457	00:13:38.166	Once we went through the doors for the challenges, everything you saw was real.	7.708999999999946	14	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-13-30.457-00-13-38.166.npz	154
MJijm9kbdHA-00:13:17.750-00:13:22.332	MJijm9kbdHA	00:13:17.750	00:13:22.332	Here are more insights from June Ann, the mother.	4.581999999999994	9	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-13-17.750-00-13-22.332.npz	92
MJijm9kbdHA-00:13:15.332-00:13:17.750	MJijm9kbdHA	00:13:15.332	00:13:17.750	Good job keeping it a secret.	2.4180000000000064	6	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-13-15.332-00-13-17.750.npz	48
MJijm9kbdHA-00:13:01.166-00:13:08.332	MJijm9kbdHA	00:13:01.166	00:13:08.332	I kept it tight until the show, and now I feel a huge weight lifted off my shoulders!	7.16599999999994	18	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-13-01.166-00-13-08.332.npz	143
MJijm9kbdHA-00:12:57.541-00:12:59.457	MJijm9kbdHA	00:12:57.541	00:12:59.457	I had to hold it in.	1.9160000000000537	6	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-12-57.541-00-12-59.457.npz	38
MJijm9kbdHA-00:12:54.666-00:12:57.541	MJijm9kbdHA	00:12:54.666	00:12:57.541	Even teachers asked me about it.	2.875	6	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-12-54.666-00-12-57.541.npz	58
MJijm9kbdHA-00:12:50.875-00:12:54.666	MJijm9kbdHA	00:12:50.875	00:12:54.666	My friends were so curious but I had to hold it.	3.79099999999994	11	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-12-50.875-00-12-54.666.npz	76
MJijm9kbdHA-00:12:48.582-00:12:50.875	MJijm9kbdHA	00:12:48.582	00:12:50.875	I don't want that so I had to keep it to myself.	2.2930000000000064	13	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\MJijm9kbdHA-00-12-48.582-00-12-50.875.npz	46
