vid	yid	start	end	raw-text	tokenized-text	gloss	split	duration_sec	word_count
4CZCJPhojUc-00:15:39.812-00:15:46.361	4CZCJPhojUc	00:15:39.812	00:15:46.361	He was also charged with unlawful possession of marijuana.	he was also charged with unlawful possession of marijuana		train	6.548999999999978	9
JaJWiCEmDQQ-00:00:06.522-00:00:09.228	JaJWiCEmDQQ	00:00:06.522	00:00:09.228	It is Thursday, January 16.	it is thursday, january 16		train	2.7059999999999995	5
JaJWiCEmDQQ-00:00:03.290-00:00:06.522	JaJWiCEmDQQ	00:00:03.290	00:00:06.522	Hello, welcome to The Daily Moth!	hello welcome to the daily moth		train	3.232	6
jEjtVRj8yRA-00:07:33.125-00:07:34.987	jEjtVRj8yRA	00:07:33.125	00:07:34.987	Stay with the light.	stay with the light		train	1.8620000000000232	4
jEjtVRj8yRA-00:07:29.848-00:07:31.617	jEjtVRj8yRA	00:07:29.848	00:07:31.617	That's all for now.	that 's all for now		train	1.7690000000000057	5
JaJWiCEmDQQ-00:00:09.228-00:00:10.833	JaJWiCEmDQQ	00:00:09.228	00:00:10.833	Ready for news?	ready for news		train	1.6050000000000004	3
jEjtVRj8yRA-00:06:20.480-00:06:24.718	jEjtVRj8yRA	00:06:20.480	00:06:24.718	They permitted up to 30,000 fans to attend.	they permitted up to 30,000 fans to attend		train	4.238	8
JaJWiCEmDQQ-00:04:16.750-00:04:24.165	JaJWiCEmDQQ	00:04:16.750	00:04:24.165	There is one more separate but related news story - Lev Parnas.	there is one more separate but related news story lev parnas		train	7.41500000000002	11
JaJWiCEmDQQ-00:09:16.000-00:09:22.625	JaJWiCEmDQQ	00:09:16.000	00:09:22.625	She announced she raised $2,000 from supporters all over the world.	she announced she raised 2,000 from supporters all over the world		train	6.625	11
JaJWiCEmDQQ-00:08:42.832-00:08:47.791	JaJWiCEmDQQ	00:08:42.832	00:08:47.791	They've raised $2,700 so far.	they 've raised 2,700 so far		train	4.958999999999946	6
JaJWiCEmDQQ-00:08:39.582-00:08:42.832	JaJWiCEmDQQ	00:08:39.582	00:08:42.832	The link is in the transcript.	the link is in the transcript		train	3.25	6
JaJWiCEmDQQ-00:07:05.458-00:07:12.165	JaJWiCEmDQQ	00:07:05.458	00:07:12.165	The ash causes oxygen levels in the water to drop.	the ash causes oxygen levels in the water to drop		train	6.706999999999994	10
JaJWiCEmDQQ-00:06:43.083-00:06:46.790	JaJWiCEmDQQ	00:06:43.083	00:06:46.790	Some of them were caused by lightning.	some of them were caused by lightning		train	3.7070000000000505	7
ftjAL7MnqsE-00:03:53.199-00:03:58.671	ftjAL7MnqsE	00:03:53.199	00:03:58.671	A trial is scheduled for March.	a trial is scheduled for march		train	5.47199999999998	6
jEjtVRj8yRA-00:00:29.428-00:00:33.399	jEjtVRj8yRA	00:00:29.428	00:00:33.399	The rule change was announced last week.	the rule change was announced last week		train	3.971	7
jEjtVRj8yRA-00:00:11.111-00:00:14.480	jEjtVRj8yRA	00:00:11.111	00:00:14.480	Are you ready for our top news?	are you ready for our top news		train	3.369	7
jEjtVRj8yRA-00:00:07.708-00:00:11.111	jEjtVRj8yRA	00:00:07.708	00:00:11.111	Today is Thursday, July 16.	today is thursday, july 16		train	3.4030000000000005	5
jEjtVRj8yRA-00:00:00.868-00:00:07.708	jEjtVRj8yRA	00:00:00.868	00:00:07.708	I'm Renca and I will be subbing for Alex today and tomorrow as he is taking time off.	i 'm renca and i will be subbing for alex today and tomorrow as he is taking time off		train	6.84	19
ftjAL7MnqsE-00:06:51.845-00:06:53.680	ftjAL7MnqsE	00:06:51.845	00:06:53.680	Captioned by aslcaptions.com	captioned by aslcaptions.com		train	1.8349999999999795	3
ftjAL7MnqsE-00:06:48.375-00:06:51.845	ftjAL7MnqsE	00:06:48.375	00:06:51.845	Have a good weekend and stay with the light!	have a good weekend and stay with the light		train	3.4700000000000277	9
ftjAL7MnqsE-00:06:45.738-00:06:48.375	ftjAL7MnqsE	00:06:45.738	00:06:48.375	Check out our Deaf News videos.	check out our deaf news videos		train	2.6370000000000005	6
ftjAL7MnqsE-00:06:42.101-00:06:45.738	ftjAL7MnqsE	00:06:42.101	00:06:45.738	That is all the top news for this week.	that is all the top news for this week		train	3.637000000000001	9
ftjAL7MnqsE-00:06:16.910-00:06:23.449	ftjAL7MnqsE	00:06:16.910	00:06:23.449	This is close to the Camp Taloali site.	this is close to the camp taloali site		train	6.538999999999987	8
ftjAL7MnqsE-00:05:51.050-00:05:57.023	ftjAL7MnqsE	00:05:51.050	00:05:57.023	500,000 residents in Oregon have evacuated from their homes.	500,000 residents in oregon have evacuated from their homes		train	5.973000000000013	9
ftjAL7MnqsE-00:05:43.108-00:05:51.050	ftjAL7MnqsE	00:05:43.108	00:05:51.050	Portland, Oregon has declared a state of emergency because wildfires are approaching the city.	portland oregon has declared a state of emergency because wildfires are approaching the city		train	7.942000000000007	14
jEjtVRj8yRA-00:00:45.978-00:00:51.951	jEjtVRj8yRA	00:00:45.978	00:00:51.951	"Now the rule change is scrapped and it's back to ""normal."""	now the rule change is scrapped and it 's back to normal		train	5.972999999999999	12
jEjtVRj8yRA-00:01:20.180-00:01:23.716	jEjtVRj8yRA	00:01:20.180	00:01:23.716	Most of the deaths happened in Nepal.	most of the deaths happened in nepal		train	3.5360000000000014	7
jEjtVRj8yRA-00:04:52.692-00:04:57.096	jEjtVRj8yRA	00:04:52.692	00:04:57.096	The employees suffered minor injuries.	the employees suffered minor injuries		train	4.403999999999996	5
jEjtVRj8yRA-00:01:31.158-00:01:37.531	jEjtVRj8yRA	00:01:31.158	00:01:37.531	The monsoon season in South Asia runs from June to September.	the monsoon season in south asia runs from june to september		train	6.373000000000005	11
jEjtVRj8yRA-00:01:23.716-00:01:31.158	jEjtVRj8yRA	00:01:23.716	00:01:31.158	Millions of people's lives and homes are disrupted or destroyed from overflowing rivers.	millions of people 's lives and homes are disrupted or destroyed from overflowing rivers		train	7.441999999999993	14
MJijm9kbdHA-00:15:52.666-00:15:55.166	MJijm9kbdHA	00:15:52.666	00:15:55.166	It means if you mess up, you mess up.	it means if you mess up you mess up		train	2.5	9
MJijm9kbdHA-00:15:50.082-00:15:52.666	MJijm9kbdHA	00:15:50.082	00:15:52.666	I always enjoy performing live on TV.	i always enjoy performing live on tv		train	2.5839999999999463	7
MJijm9kbdHA-00:15:48.707-00:15:50.082	MJijm9kbdHA	00:15:48.707	00:15:50.082	That was fun!	that was fun		train	1.375	3
MJijm9kbdHA-00:15:35.625-00:15:38.832	MJijm9kbdHA	00:15:35.625	00:15:38.832	It's great to be back and put music out.	it 's great to be back and put music out		train	3.2069999999999936	10
MJijm9kbdHA-00:15:33.000-00:15:35.625	MJijm9kbdHA	00:15:33.000	00:15:35.625	We're going live soon!	we 're going live soon		train	2.625	5
MJijm9kbdHA-00:15:16.500-00:15:21.125	MJijm9kbdHA	00:15:16.500	00:15:21.125	Right now we're going to Fox 2 News for a live performance on television!	right now we 're going to fox 2 news for a live performance on television		train	4.625	15
MJijm9kbdHA-00:14:37.375-00:14:39.291	MJijm9kbdHA	00:14:37.375	00:14:39.291	Thank you for sharing.	thank you for sharing		train	1.91599999999994	4
MJijm9kbdHA-00:14:32.375-00:14:34.791	MJijm9kbdHA	00:14:32.375	00:14:34.791	It was a fun experience for us.	it was a fun experience for us		train	2.41599999999994	7
MJijm9kbdHA-00:14:29.500-00:14:32.375	MJijm9kbdHA	00:14:29.500	00:14:32.375	Acting jobs are not easy!	acting jobs are not easy		train	2.875	5
MJijm9kbdHA-00:14:25.875-00:14:29.500	MJijm9kbdHA	00:14:25.875	00:14:29.500	So, young actors, you have my respect.	so young actors you have my respect		train	3.625	7
MJijm9kbdHA-00:14:20.082-00:14:22.541	MJijm9kbdHA	00:14:20.082	00:14:22.541	The kids started to feel fatigued.	the kids started to feel fatigued		train	2.45900000000006	6
MJijm9kbdHA-00:14:14.207-00:14:20.082	MJijm9kbdHA	00:14:14.207	00:14:20.082	It was exciting in the morning but as the day dragged on, the (crew) had to encourage the kids to look happy, to smile.	it was exciting in the morning but as the day dragged on the crew had to encourage the kids to look happy to smile		train	5.875	24
MJijm9kbdHA-00:14:55.375-00:14:58.457	MJijm9kbdHA	00:14:55.375	00:14:58.457	Congratulations to the LeFors family.	congratulations to the lefors family		train	3.0819999999999936	5
MJijm9kbdHA-00:14:12.125-00:14:14.207	MJijm9kbdHA	00:14:12.125	00:14:14.207	We were worn out.	we were worn out		train	2.0819999999999936	4
MJijm9kbdHA-00:16:18.082-00:16:20.500	MJijm9kbdHA	00:16:18.082	00:16:20.500	It's my first album in seven years.	it 's my first album in seven years		train	2.4180000000000064	8
MJijm9kbdHA-00:16:27.125-00:16:31.000	MJijm9kbdHA	00:16:27.125	00:16:31.000	"The reason for ""Little Victories"" is because I felt it was the right time."	the reason for little victories is because i felt it was the right time		train	3.875	14
MJijm9kbdHA-00:18:15.506-00:18:17.539	MJijm9kbdHA	00:18:15.506	00:18:17.539	How can we support you?	how can we support you		train	2.0329999999999018	5
MJijm9kbdHA-00:18:13.040-00:18:15.083	MJijm9kbdHA	00:18:13.040	00:18:15.083	I'm really looking forward to that.	i 'm really looking forward to that		train	2.04300000000012	7
MJijm9kbdHA-00:17:51.838-00:17:53.625	MJijm9kbdHA	00:17:51.838	00:17:53.625	Can you explain this?	can you explain this		train	1.7870000000000346	4
MJijm9kbdHA-00:17:46.540-00:17:50.540	MJijm9kbdHA	00:17:46.540	00:17:50.540	It is now his goal for people to buy his album.	it is now his goal for people to buy his album		train	4.0	11
MJijm9kbdHA-00:17:39.583-00:17:46.540	MJijm9kbdHA	00:17:39.583	00:17:46.540	Thanks Sean for letting me to be a moth on the wall for your performances!	thanks sean for letting me to be a moth on the wall for your performances		train	6.95699999999988	15
MJijm9kbdHA-00:17:37.208-00:17:39.583	MJijm9kbdHA	00:17:37.208	00:17:39.583	Good show!	good show		train	2.375	2
MJijm9kbdHA-00:17:35.540-00:17:37.208	MJijm9kbdHA	00:17:35.540	00:17:37.208	I had a lot of fun!	i had a lot of fun		train	1.66800000000012	6
MJijm9kbdHA-00:17:29.625-00:17:31.998	MJijm9kbdHA	00:17:29.625	00:17:31.998	There was so much energy.	there was so much energy		train	2.3730000000000477	5
MJijm9kbdHA-00:17:27.000-00:17:29.625	MJijm9kbdHA	00:17:27.000	00:17:29.625	I'm really honored to be honest.	i 'm really honored to be honest		train	2.625	7
MJijm9kbdHA-00:16:49.707-00:16:56.832	MJijm9kbdHA	00:16:49.707	00:16:56.832	I'm asking you to respect me as a musician, as an artist, and as someone who is really passionate about music and sharing it with people.	i 'm asking you to respect me as a musician as an artist and as someone who is really passionate about music and sharing it with people		train	7.125	27
MJijm9kbdHA-00:16:48.082-00:16:49.707	MJijm9kbdHA	00:16:48.082	00:16:49.707	I'm not asking for that.	i 'm not asking for that		train	1.625	6
MJijm9kbdHA-00:16:46.707-00:16:48.082	MJijm9kbdHA	00:16:46.707	00:16:48.082	"Ooh, wow!"""	ooh wow		train	1.375	2
MJijm9kbdHA-00:16:44.840-00:16:46.706	MJijm9kbdHA	00:16:44.840	00:16:46.706	A deaf man who's a musician.	a deaf man who 's a musician		train	1.8659999999999852	7
MJijm9kbdHA-00:16:31.000-00:16:32.666	MJijm9kbdHA	00:16:31.000	00:16:32.666	I just woke up one morning and said let's go!	i just woke up one morning and said let 's go		train	1.66599999999994	11
MJijm9kbdHA-00:17:33.708-00:17:35.540	MJijm9kbdHA	00:17:33.708	00:17:35.540	The music was so loud!	the music was so loud		train	1.83199999999988	5
MJijm9kbdHA-00:18:17.539-00:18:22.777	MJijm9kbdHA	00:18:17.539	00:18:22.777	"Go to DeafandLoud.com and click on ""Buy Now."""	go to deafandloud.com and click on buy now		train	5.238000000000056	8
MJijm9kbdHA-00:14:07.041-00:14:12.125	MJijm9kbdHA	00:14:07.041	00:14:12.125	We all had to act all day, for one entire day.	we all had to act all day for one entire day		train	5.083999999999946	11
MJijm9kbdHA-00:14:00.000-00:14:04.791	MJijm9kbdHA	00:14:00.000	00:14:04.791	Sometimes the kids would say things and didn't think it felt right, so we'd do a retake.	sometimes the kids would say things and did n't think it felt right so we 'd do a retake		train	4.791000000000054	19
MJijm9kbdHA-00:10:48.916-00:10:55.375	MJijm9kbdHA	00:10:48.916	00:10:55.375	Johnson worked for NASA for more than 30 years.	johnson worked for nasa for more than 30 years		train	6.45900000000006	9
MJijm9kbdHA-00:08:17.458-00:08:22.165	MJijm9kbdHA	00:08:17.458	00:08:22.165	The state primary is on Saturday.	the state primary is on saturday		train	4.7070000000000505	6
MJijm9kbdHA-00:07:25.750-00:07:29.458	MJijm9kbdHA	00:07:25.750	00:07:29.458	"He said ""I bought - I got them"" in a verbal slip-up."	he said i bought i got them in a verbal slip up		train	3.70799999999997	12
MJijm9kbdHA-00:14:04.791-00:14:07.041	MJijm9kbdHA	00:14:04.791	00:14:07.041	That was cute.	that was cute		train	2.25	3
MJijm9kbdHA-00:11:55.916-00:12:00.582	MJijm9kbdHA	00:11:55.916	00:12:00.582	I did an interview with them last week before the show aired.	i did an interview with them last week before the show aired		train	4.666000000000054	12
MJijm9kbdHA-00:13:57.582-00:14:00.000	MJijm9kbdHA	00:13:57.582	00:14:00.000	We would oblige.	we would oblige		train	2.4180000000000064	3
MJijm9kbdHA-00:13:52.082-00:13:57.582	MJijm9kbdHA	00:13:52.082	00:13:57.582	Adam (the host) would say out lines and then want to do a retake.	adam the host would say out lines and then want to do a retake		train	5.5	14
MJijm9kbdHA-00:13:44.916-00:13:52.082	MJijm9kbdHA	00:13:44.916	00:13:52.082	Now, for the scenes when we stood together -- for those parts, there were some retakes.	now for the scenes when we stood together -- for those parts there were some retakes		train	7.166000000000054	16
MJijm9kbdHA-00:13:40.291-00:13:44.916	MJijm9kbdHA	00:13:40.291	00:13:44.916	All the facial expressions and reactions were authentic.	all the facial expressions and reactions were authentic		train	4.625	8
MJijm9kbdHA-00:13:38.166-00:13:40.291	MJijm9kbdHA	00:13:38.166	00:13:40.291	There were no repetitions.	there were no repetitions		train	2.125	4
MJijm9kbdHA-00:13:30.457-00:13:38.166	MJijm9kbdHA	00:13:30.457	00:13:38.166	Once we went through the doors for the challenges, everything you saw was real.	once we went through the doors for the challenges everything you saw was real		train	7.708999999999946	14
MJijm9kbdHA-00:13:17.750-00:13:22.332	MJijm9kbdHA	00:13:17.750	00:13:22.332	Here are more insights from June Ann, the mother.	here are more insights from june ann the mother		train	4.581999999999994	9
MJijm9kbdHA-00:13:15.332-00:13:17.750	MJijm9kbdHA	00:13:15.332	00:13:17.750	Good job keeping it a secret.	good job keeping it a secret		train	2.4180000000000064	6
MJijm9kbdHA-00:13:01.166-00:13:08.332	MJijm9kbdHA	00:13:01.166	00:13:08.332	I kept it tight until the show, and now I feel a huge weight lifted off my shoulders!	i kept it tight until the show and now i feel a huge weight lifted off my shoulders		train	7.16599999999994	18
MJijm9kbdHA-00:12:57.541-00:12:59.457	MJijm9kbdHA	00:12:57.541	00:12:59.457	I had to hold it in.	i had to hold it in		train	1.9160000000000537	6
MJijm9kbdHA-00:12:54.666-00:12:57.541	MJijm9kbdHA	00:12:54.666	00:12:57.541	Even teachers asked me about it.	even teachers asked me about it		train	2.875	6
MJijm9kbdHA-00:12:50.875-00:12:54.666	MJijm9kbdHA	00:12:50.875	00:12:54.666	My friends were so curious but I had to hold it.	my friends were so curious but i had to hold it		train	3.79099999999994	11
MJijm9kbdHA-00:12:48.582-00:12:50.875	MJijm9kbdHA	00:12:48.582	00:12:50.875	I don't want that so I had to keep it to myself.	i do n't want that so i had to keep it to myself		train	2.2930000000000064	13
MJijm9kbdHA-00:12:44.375-00:12:48.582	MJijm9kbdHA	00:12:44.375	00:12:48.582	If we revealed information, they would sue us.	if we revealed information they would sue us		train	4.206999999999994	8
MJijm9kbdHA-00:12:00.582-00:12:08.332	MJijm9kbdHA	00:12:00.582	00:12:08.332	The team won six out of eight challenges to collect crystals.	the team won six out of eight challenges to collect crystals		train	7.75	11
MJijm9kbdHA-00:12:59.457-00:13:01.166	MJijm9kbdHA	00:12:59.457	00:13:01.166	Even my grandparents!	even my grandparents		train	1.70900000000006	3
4CZCJPhojUc-00:00:08.817-00:00:11.009	4CZCJPhojUc	00:00:08.817	00:00:11.009	Ready for the news?	ready for the news		train	2.192	4
4CZCJPhojUc-00:00:06.296-00:00:08.817	4CZCJPhojUc	00:00:06.296	00:00:08.817	It's Monday, October 7.	it 's monday, october 7		train	2.521	5
pkV9v250i4w-00:06:52.045-00:06:53.413	pkV9v250i4w	00:06:52.045	00:06:53.413	Captioned by aslcaptions.com	captioned by aslcaptions.com		train	1.367999999999995	3
pkV9v250i4w-00:06:49.009-00:06:52.045	pkV9v250i4w	00:06:49.009	00:06:52.045	Thank you for explaining and keep up the work!	thank you for explaining and keep up the work		train	3.0360000000000014	9
pkV9v250i4w-00:06:47.072-00:06:49.009	pkV9v250i4w	00:06:47.072	00:06:49.009	I appreciate your time, Joseph.	i appreciate your time joseph		train	1.937000000000012	5
pkV9v250i4w-00:06:44.536-00:06:47.072	pkV9v250i4w	00:06:44.536	00:06:47.072	We are going to work long term.	we are going to work long term		train	2.5360000000000014	7
pkV9v250i4w-00:06:32.591-00:06:36.329	pkV9v250i4w	00:06:32.591	00:06:36.329	We are prepared for a long battle.	we are prepared for a long battle		train	3.738	7
pkV9v250i4w-00:06:27.887-00:06:31.324	pkV9v250i4w	00:06:27.887	00:06:31.324	It's going to be a long time.	it 's going to be a long time		train	3.437000000000012	8
4CZCJPhojUc-00:00:03.419-00:00:06.296	4CZCJPhojUc	00:00:03.419	00:00:06.296	Hello, welcome to the Daily Moth.	hello welcome to the daily moth		train	2.877	6
pkV9v250i4w-00:06:11.637-00:06:17.810	pkV9v250i4w	00:06:11.637	00:06:17.810	Vaccines might be available in a year or more.	vaccines might be available in a year or more		train	6.173000000000002	9
4CZCJPhojUc-00:06:28.178-00:06:34.935	4CZCJPhojUc	00:06:28.178	00:06:34.935	Two protesters were arrested and charged with wearing masks.	two protesters were arrested and charged with wearing masks		train	6.757000000000005	9
4CZCJPhojUc-00:05:28.119-00:05:29.870	4CZCJPhojUc	00:05:28.119	00:05:29.870	Kansas Gov.	kansas gov.		train	1.7509999999999764	2
4CZCJPhojUc-00:05:23.113-00:05:28.119	4CZCJPhojUc	00:05:23.113	00:05:28.119	Authorities did not release their names yet.	authorities did not release their names yet		train	5.006000000000029	7
4CZCJPhojUc-00:05:18.860-00:05:23.113	4CZCJPhojUc	00:05:18.860	00:05:23.113	Another was a father of two children.	another was a father of two children		train	4.252999999999986	7
4CZCJPhojUc-00:02:58.801-00:03:00.854	4CZCJPhojUc	00:02:58.801	00:03:00.854	Former U.N.	former u.n.		train	2.0530000000000257	2
4CZCJPhojUc-00:04:49.663-00:04:53.793	4CZCJPhojUc	00:04:49.663	00:04:53.793	The four men who died were all Hispanic.	the four men who died were all hispanic		train	4.129999999999996	8
4CZCJPhojUc-00:04:43.365-00:04:49.663	4CZCJPhojUc	00:04:43.365	00:04:49.663	There were about 40 people inside the bar and they rushed out.	there were about 40 people inside the bar and they rushed out		train	6.298000000000002	12
4CZCJPhojUc-00:03:50.771-00:03:54.567	4CZCJPhojUc	00:03:50.771	00:03:54.567	Police released an image of two suspects.	police released an image of two suspects		train	3.795999999999992	7
4CZCJPhojUc-00:03:46.016-00:03:50.771	4CZCJPhojUc	00:03:46.016	00:03:50.771	The bar's name is Tequila KC Bar.	the bar 's name is tequila kc bar		train	4.755000000000024	8
4CZCJPhojUc-00:03:17.405-00:03:22.117	4CZCJPhojUc	00:03:17.405	00:03:22.117	"Leaving them to die is a big mistake."""	leaving them to die is a big mistake		train	4.711999999999989	8
pkV9v250i4w-00:06:07.867-00:06:11.637	pkV9v250i4w	00:06:07.867	00:06:11.637	We might be in this for a long time.	we might be in this for a long time		train	3.769999999999982	9
pkV9v250i4w-00:05:56.889-00:06:01.694	pkV9v250i4w	00:05:56.889	00:06:01.694	This coronavirus is a global virus in which we all must work together to fight it.	this coronavirus is a global virus in which we all must work together to fight it		train	4.805000000000007	16
pkV9v250i4w-00:02:18.405-00:02:26.278	pkV9v250i4w	00:02:18.405	00:02:26.278	The World Health Organization (WHO) has been at work coordinating coronavirus responses.	the world health organization who has been at work coordinating coronavirus responses		train	7.8729999999999905	12
